rank,movie,release_date,distribution,genre,gross,tickets_sold
480,One Week and a Day,4/28/2017,Oscilloscope Pict…,Drama,41614,4639
481,Panic (1947) (Re-Release),1/20/2017,Rialto Pictures,Drama,41569,4634
482,Seasons,11/11/2016,Music Box Films,Documentary,40337,4496
483,Unrest,9/22/2017,Shella Films,Documentary,40081,4468
484,The Commune,5/19/2017,Magnolia Pictures,Drama,38737,4318
485,I am the Blues,7/12/2017,Film Movement,Documentary,37849,4219
486,78/52: Hitchcock’s Shower S…,10/13/2017,IFC Films,Documentary,37664,4198
487,A Woman’s Life,5/5/2017,Kino Lorber,Drama,37626,4194
488,School Life,9/8/2017,Magnolia Pictures,Documentary,37381,4167
489,"A Woman, A Part",3/22/2017,Monument Releasing,Drama,36838,4106
490,Growing up Smith,2/3/2017,Good Deed Enterta…,Comedy,35312,3936
491,Sophie and the Rising Sun,1/20/2017,Monterey Media,Drama,34630,3860
492,Rat Film,9/15/2017,Cinema Guild,Documentary,33568,3742
493,Afterimage,5/19/2017,Film Movement,Drama,33443,3728
494,Love & Taxes,3/3/2017,Abramorama Films,Romantic Comedy,33150,3695
495,Alone in Berlin,1/13/2017,IFC Films,Drama,33125,3692
496,Super Dark Times,9/29/2017,The Orchard,Thriller/Suspense,33109,3691
497,Sidemen: Long Road to Glory,8/18/2017,Abramorama Films,Documentary,31399,3500
498,7 Witches,4/21/2017,Indican Pictures,Horror,31100,3467
499,The Hole,6/28/2017,Rialto Pictures,Thriller/Suspense,30973,3452
500,XX,2/17/2017,Magnolia Pictures,Horror,30911,3446
501,On the Beach at Night Alone,11/17/2017,Cinema Guild,Drama,30683,3420
502,The Son of Joseph,1/13/2017,Kino Lorber,Drama,30588,3410
503,No Greater Love,11/10/2017,Atlas Distribution,Documentary,30531,3403
504,Dealt,10/20/2017,IFC Films,Documentary,30414,3390
505,Deep Sea 3-D,3/3/2006,Warner Bros.,Documentary,30203,3367
506,The Wound,8/16/2017,Kino Lorber,Drama,29963,3340
507,Uncertain,3/9/2017,Lucid Inc,Documentary,29736,3315
508,Quest,12/1/2017,First Run Features,Documentary,29591,3298
509,Lemon,8/18/2017,Magnolia Pictures,Comedy,29258,3261
510,False Confessions,7/14/2017,Big World Pictures,Drama,29245,3260
511,In Pursuit of Silence,6/23/2017,Cinema Guild,Documentary,29050,3238
512,Berlin Syndrome,5/5/2017,Vertical Entertai…,Thriller/Suspense,28660,3195
513,Wait For Your Laugh,11/3/2017,Vitagraph Films,Documentary,28548,3182
514,Brimstone & Glory,10/27/2017,Oscilloscope Pict…,Documentary,28023,3124
515,Radio Dreams,5/19/2017,Matson,Comedy,27836,3103
516,The Villainess,8/25/2017,Well Go USA,Action,27741,3092
517,The Crime of Monsieur Lange,11/17/2017,Rialto Pictures,Comedy,27474,3062
518,Ribbons,9/22/2017,Indican Pictures,Thriller/Suspense,26872,2995
519,30 Years of Garbage: The Ga…,7/28/2017,Indican Pictures,Documentary,26804,2988
520,The Untamed,7/21/2017,Strand,Drama,25899,2887
521,Wasted! The Story of Food W…,10/13/2017,Super LTD,Documentary,25865,2883
522,The Edge of Seventeen,11/18/2016,STX Entertainment,Drama,24847,2770
523,The Marseille Trilogy,12/30/2016,Janus Films,Drama,24787,2763
524,The Departure,10/13/2017,Matson,Documentary,24661,2749
525,Naples ‘44,11/29/2017,First Run Features,Documentary,24616,2744
526,Saving Brinton,9/22/2017,Barn Owl,Documentary,24590,2741
527,Jasmine,6/16/2017,Indican Pictures,Horror,24284,2707
528,Simple Creature,7/28/2017,Indican Pictures,Thriller/Suspense,23918,2666
529,For Ahkeem,10/13/2017,Vitagraph Films,Documentary,23136,2579
530,Finding Oscar,4/14/2017,FilmRise,Documentary,23116,2577
531,Grace of Jake,2/3/2017,Indican Pictures,Drama,23078,2572
532,My Scientology Movie,3/10/2017,Magnolia Pictures,Documentary,22936,2556
533,The Recall,6/2/2017,Freestyle Releasing,Horror,22233,2478
534,Twenty-Two,9/8/2017,China Lion Film D…,Documentary,22222,2477
535,The Transfiguration,4/7/2017,Strand,Drama,21926,2444
536,Paradise Club,9/8/2017,Indican Pictures,Drama,21923,2444
537,Bending the Arc,10/6/2017,Abramorama Films,Documentary,21906,2442
538,The Passion of Joan of Arc,11/24/2017,Janus Films,Drama,21877,2438
539,The Girl Without Hands,7/21/2017,GKIDS,Adventure,21787,2428
540,Whisky Galore,5/12/2017,Arrow Releasing,Romantic Comedy,21551,2402
541,Trophy,9/8/2017,The Orchard,Documentary,21439,2390
542,Massacre on Aisle 12,1/27/2017,Indican Pictures,Comedy,21106,2352
543,A Beginner’s Guide to Snuff,6/23/2017,Indican Pictures,Black Comedy,21031,2344
544,Man Underground,7/14/2017,Indican Pictures,Drama,20907,2330
545,All These Sleepless Nights,4/7/2017,The Orchard,Documentary,20762,2314
546,The Blackcoat’s Daughter,3/31/2017,A24,Horror,20435,2278
547,RV: Resurrected Victims,10/20/2017,Well Go USA,Thriller/Suspense,20371,2271
548,Better Watch Out,10/6/2017,Well Go USA,Horror,20369,2270
549,Glory,4/12/2017,Film Movement,Drama,19608,2185
550,Carrie Pilby,3/31/2017,The Orchard,Comedy,18957,2113
551,"Léon Morin, Priest",4/17/2009,,Drama,18869,2103
552,Black Code,4/14/2017,Mongrel Media,Documentary,18846,2101
553,The Man From Outer Space,9/8/2017,Indican Pictures,Drama,18709,2085
554,Bobbi Jene,9/22/2017,Oscilloscope Pict…,Documentary,18579,2071
555,All the Rage (Saved by Sarno),6/23/2017,Rumur,Documentary,18489,2061
556,Burden,5/5/2017,Magnolia Pictures,Documentary,18440,2055
557,Clash,8/25/2017,Kino Lorber,Drama,18215,2030
558,Mansfield 66/67,10/27/2017,FilmBuff,Documentary,17930,1998
559,The Last Shaman,5/12/2017,Abramorama Films,Documentary,17744,1978
560,Bad Grandmas,11/3/2017,Parade Deck Films,Comedy,17688,1971
561,Harmonium,6/16/2017,Film Movement,Drama,17191,1916
562,Food Evolution,6/23/2017,Abramorama Films,Documentary,17181,1915
563,The Queen of Katwe,9/23/2016,Walt Disney,Drama,17078,1903
564,That Most Important Thing,7/14/2017,Rialto Pictures,Drama,16976,1892
565,Racer and the Jailbird,5/4/2018,Neon,Drama,16429,1831
566,Mission Control: The Unsung…,4/14/2017,Gravitas Ventures,Documentary,16405,1828
567,Kills on Wheels,10/20/2017,Kino Lorber,Drama,15856,1767
568,Contemporary Color,3/1/2017,Oscilloscope Pict…,Concert/Perfor…,15305,1706
569,Shot! The Psycho-Spiritual …,4/7/2017,Magnolia Pictures,Documentary,15157,1689
570,Rebels on Pointe,11/15/2017,Icarus Films,Documentary,15088,1682
571,Paradise,10/6/2017,Film Movement,Drama,14873,1658
572,Vince Giordano: There’s a F…,1/13/2017,First Run Features,Documentary,14807,1650
573,The Farthest,8/11/2017,Abramorama Films,Documentary,14733,1642
574,The Beatles: Eight Days a W…,9/16/2016,Abramorama Films,Documentary,14527,1619
575,Antarctica: Ice and Sky,1/20/2017,Music Box Films,Documentary,14475,1613
576,Time to Die,9/15/2017,Film Movement,Western,14278,1591
577,Brotherhood of Blades 2,12/1/2017,Well Go USA,Action,14204,1583
578,Brave New Jersey,8/4/2017,Gravitas Ventures,Comedy,14105,1572
579,Abracadabra,9/15/2017,Sony Pictures,Comedy,13975,1558
580,After Love,8/9/2017,Distrib Films,Drama,13621,1518
581,Legend of the Naga Pearls,8/25/2017,Well Go USA,Action,13588,1514
582,Trafficked,10/6/2017,Epic Pictures Group,Drama,13476,1502
583,"Intent to Destroy: Death, D…",11/10/2017,Abramorama Films,Documentary,13194,1470
584,Birdboy: The Forgotten Chil…,12/15/2017,GKIDS,Horror,13157,1466
585,Taipei Story (1985),3/17/2017,Janus Films,Drama,12897,1437
586,Junction 48,3/3/2017,The Orchard,Multiple Genres,12795,1426
587,Heal,10/20/2017,Paladin,Documentary,12668,1412
588,Song of Granite,11/15/2017,Oscilloscope Pict…,Drama,12408,1383
589,The Magnificent Seven,9/23/2016,Sony Pictures,Western,12402,1383
590,Heat and Dust,9/15/1983,Universal,Drama,12227,1363
591,Seven Beauties,4/14/2017,Kino Lorber,Drama,11962,1333
592,Porto,11/17/2017,Kino Lorber,Drama,11763,1311
593,Staying Vertical,1/20/2017,Strand,Comedy,11747,1309
594,Dead Awake,5/12/2017,FilmRise,Horror,11528,1285
595,Sweet Virginia,11/17/2017,IFC Films,Thriller/Suspense,11452,1277
596,Beside Bowie: The Mick Rons…,9/1/2017,Parade Deck Films,Documentary,11400,1270
597,4 Days in France,8/4/2017,Cinema Guild,Drama,11373,1267
598,Saigon Bodyguards,2/3/2017,CJ Entertainment,Action,11314,1261
599,Ugetsu (1953) (Re-Release),3/3/2017,Janus Films,Drama,11198,1248
600,Permanent,12/15/2017,Magnolia Pictures,Comedy,11197,1248
601,Shadowman,12/1/2017,Film Movement,Documentary,11142,1242
602,The Challenge,9/8/2017,Kino Lorber,Documentary,11043,1231
603,Lovesong,2/17/2017,Strand,Drama,10545,1175
604,Clarence,9/1/2017,Indican Pictures,Documentary,10495,1170
605,In The Fade,12/27/2017,Magnolia Pictures,Drama,10455,1165
606,Painted Woman,11/10/2017,Amor Media,Western,10298,1148
607,The Sunshine Makers,1/20/2017,FilmRise,Documentary,10042,1119
608,Red Trees,9/15/2017,Cohen Media Group,Documentary,10012,1116
609,The Fiancé,11/11/2016,Indican Pictures,Horror,9866,1099
610,The Lucky Man,12/21/2017,Indican Pictures,Action,9794,1091
611,Frank Serpico,11/1/2017,IFC Films,Documentary,9711,1082
612,Machines,8/9/2017,Kino Lorber,Documentary,9710,1082
613,The Daughter,7/1/2016,Mongrel Media,Drama,9647,1075
614,Pelle the Conqueror,12/21/1988,Miramax,Drama,9597,1069
615,Harry & Snowman,9/30/2016,FilmRise,Documentary,9545,1064
616,The Tribes of Palos Verdes,12/1/2017,IFC Films,Drama,9258,1032
617,Amnesia,7/21/2017,Film Movement,Drama,8700,969
618,Félicité,10/27/2017,Strand,Drama,8679,967
619,Julian Schnabel: A Private …,5/5/2017,Cohen Media Group,Documentary,8679,967
620,Remember the Goal,8/26/2016,Five & Two Pictures,Drama,8652,964
621,We Are the Flesh,1/13/2017,Arrow Releasing,Horror,8438,940
622,Natasha,4/28/2017,Menemsha Entertai…,Drama,8325,928
623,Mr. Chibbs,5/3/2017,Abramorama Films,Documentary,8303,925
624,Served Like a Girl,8/25/2017,Entertainment Stu…,Documentary,8290,924
625,From Nowhere,2/17/2017,FilmRise,Drama,8109,904
626,La Chinoise,10/12/2007,Koch Lorber Films,Black Comedy,7971,888
627,Swept Away,4/14/2017,Kino Lorber,Romantic Comedy,7876,878
628,The Ballad of Lefty Brown,12/15/2017,A24,Western,7856,875
629,Ana-ta-han (1954) (Re-Release),2/3/2017,Kino Lorber,Drama,7785,867
630,Maigret Sets a Trap,10/20/2017,Kino Lorber,Drama,7644,852
631,The Wrong Light,7/14/2017,Cinema Guild,Documentary,7553,842
632,Birthright: A War Story,7/14/2017,Abramorama Films,Documentary,7519,838
633,Big Time,12/1/2017,Abramorama Films,Documentary,7347,819
634,The Jazz Funeral,3/10/2017,Indican Pictures,Adventure,7103,791
635,Miss Sloane,11/25/2016,EuropaCorp,Drama,6969,776
636,Spices of Liberty,10/24/2016,Hannover House,Drama,6838,762
637,Harry Benson: Shoot First,12/9/2016,Magnolia Pictures,Documentary,6694,746
638,Footnotes,7/14/2017,Monument Releasing,Musical,6660,742
639,The Pathological Optimist,9/29/2017,Film Arcade,Documentary,6522,727
640,Last Rampage,9/22/2017,Epic Pictures Group,Thriller/Suspense,6294,701
641,Chosen,12/16/2016,Hannover House,Drama,6226,694
642,The Fuzz,7/21/2017,Indican Pictures,Thriller/Suspense,6176,688
643,The Freedom to Marry,3/3/2017,Argot Pictures,Documentary,6142,684
644,The Sacrifice,11/7/2014,Kino Lorber,Drama,6127,683
645,Arise from Darkness,1/5/2017,Indican Pictures,Horror,6112,681
646,Ichi The Killer: Definitive…,11/10/2017,Well Go USA,Horror,5986,667
647,Suntan,3/10/2017,Strand,Romantic Comedy,5954,663
648,Starless Dreams,1/20/2017,Cinema Guild,Documentary,5937,661
649,"Kill Me, Deadly",4/1/2016,Indican Pictures,Multiple Genres,5936,661
650,The Work,10/25/2017,The Orchard,Documentary,5853,652
651,The Vault,9/1/2017,FilmRise,Thriller/Suspense,5728,638
652,Trespass Against Us,1/20/2017,A24,Action,5711,636
653,The Ardennes,1/6/2017,Film Movement,Thriller/Suspense,5638,628
654,No culpes al karma de lo qu…,3/24/2017,,Comedy,5614,626
655,Gold,12/1/2017,Sony Pictures,Adventure,5539,618
656,Icaros: A Vision,5/19/2017,Factory 25,Drama,5510,614
657,Reset,1/13/2017,FilmRise,Documentary,5454,608
658,Scum,6/16/2017,Kino Lorber,Thriller/Suspense,5405,602
659,Company Town,9/8/2017,First Run Features,Documentary,4934,550
660,Best Worst Thing That Ever …,11/18/2016,Abramorama Films,Documentary,4753,529
661,Shot,9/22/2017,Paladin,Drama,4701,524
662,Night School,6/9/2017,Oscilloscope Pict…,Documentary,4663,519
663,I Love You Both,6/9/2017,Magnolia Pictures,Comedy,4661,519
664,A Boy Called Po,9/1/2017,Freestyle Releasing,Comedy,4550,507
665,Vengeance: A Love Story,9/15/2017,FilmRise,Action,4526,504
666,The Pulitzer at 100,7/21/2017,First Run Features,Documentary,4489,500
667,German Concentration Camps …,1/6/2017,First Run Features,Documentary,4468,498
668,Bad Lucky Goat,10/13/2017,Film Movement,Drama,4253,474
669,"My Father, Die",1/20/2017,FilmRise,Action,4252,474
670,Badsville,12/1/2017,Epic Pictures Group,Drama,4153,462
671,Mostly Sunny,1/13/2017,Mongrel Media,Documentary,4046,451
672,Swim Team,7/7/2017,Argot Pictures,Documentary,4024,448
673,Train to Busan,7/22/2016,Well Go USA,Horror,3982,443
674,The Woman Who Left,5/19/2017,Kino Lorber,Drama,3906,435
675,Soul on a String,5/19/2017,Film Movement,Drama,3669,409
676,Shakespeare Wallah,11/10/2017,Cohen Media Group,Drama,3577,398
677,Emily,1/27/2017,Hibernation Films,Drama,3547,395
678,Mifune: The Last Samurai,11/25/2016,Strand,Documentary,3531,393
679,Who’s Crazy,3/10/2017,Kino Lorber,Drama,3497,389
680,Bugs,9/27/2017,Kino Lorber,Documentary,3423,381
681,Speed Sisters,1/27/2017,First Run Features,Documentary,3423,381
682,A Kind of Loving,4/7/2017,Rialto Pictures,Drama,3278,365
683,The Bad Kids,12/16/2016,FilmRise,Documentary,3249,362
684,Heal the Living,4/14/2017,Cohen Media Group,Drama,3176,354
685,Tower,10/12/2016,Kino Lorber,Drama,3173,353
686,The Levelling,3/24/2017,Monterey Media,Drama,3040,338
687,The Skyjacker’s Tale,6/30/2017,Strand,Documentary,3009,335
688,Dalida,9/1/2017,Under the Milky Way,Drama,2917,325
689,New World Order,9/23/2016,Indican Pictures,Action,2860,318
690,1898. Los últimos de Filipi…,3/3/2017,,Drama,2848,318
691,I Dream in Another Language,7/28/2017,FilmRise,Drama,2739,305
692,Santoalla,7/19/2017,Oscilloscope Pict…,Documentary,2684,299
693,Take Me,5/5/2017,The Orchard,Comedy,2583,287
694,Apprentice,3/3/2017,Film Movement,Drama,2578,287
695,Miles,6/9/2017,Entertainment Stu…,Drama,2537,282
696,Shut In,11/11/2016,EuropaCorp,Thriller/Suspense,2497,278
697,Red Christmas,8/25/2017,Artsploitation,Horror,2250,250
698,Thrill Ride,12/1/2017,Gravitas Ventures,Adventure,2226,248
699,Behind the White Glasses: P…,3/4/2016,Parade Deck Films,Documentary,2223,247
700,Dream Boat,11/3/2017,Strand,Documentary,2199,245
701,Dayveon,9/13/2017,FilmRise,Drama,2077,231
702,The Ghoul,8/4/2017,Cartilage Films,Thriller/Suspense,2032,226
703,Accidental Courtesy: Daryl …,1/6/2017,First Run Features,Documentary,1940,216
704,Detour,1/20/2017,Magnolia Pictures,Thriller/Suspense,1788,199
705,The Romans,5/27/2016,Indican Pictures,Drama,1689,188
706,The Greasy Strangler,10/7/2016,FilmRise,Thriller/Suspense,1650,183
707,Never,8/19/2016,Indican Pictures,Drama,1621,180
708,Do Not Resist,9/30/2016,Vanish Films,Documentary,1596,177
709,The Forest for the Trees,1/27/2017,Film Movement,Drama,1410,157
710,The Battle of Algiers,1/9/2004,Rialto Pictures,Drama,1319,147
711,The Ghosts of Johnson Woods,12/2/2016,Driving With Our …,Horror,1255,139
712,It’s Not Yet Dark,8/4/2017,FilmRise,Documentary,1227,136
713,A Different American Dream,1/6/2017,First Run Features,Documentary,1172,130
714,Joy of Learning,7/28/2017,Kino Lorber,Drama,1149,128
715,The Lion in Winter,10/30/1968,,Drama,1025,114
716,Christine,10/14/2016,The Orchard,Drama,995,110
717,The Penguin Counters,4/21/2017,First Run Features,Documentary,976,108
718,Believe,12/2/2016,Smith Global Media,Drama,975,108
719,The Black Dove,8/12/2016,Indican Pictures,Comedy,881,98
720,Extraordinary Ordinary People,9/15/2017,First Run Features,Documentary,880,98
721,I Am not Madame Bovary,11/18/2016,Well Go USA,Drama,872,97
722,The Witness,6/3/2016,FilmRise,Documentary,778,86
723,Amityville: The Awakening,10/28/2017,Weinstein Co.,Horror,742,83
724,This Last Lonely Place,8/12/2016,Indican Pictures,Thriller/Suspense,514,57
725,"Love, Sweat & Tears",3/8/2017,Kino Lorber,Documentary,512,57
726,The Helsings,5/26/2017,Self Distributed,Drama,478,53
727,Seed: The Untold Story,8/22/2016,Collective Eye,Documentary,442,49
728,0.098611111,6/30/2017,Magnolia Pictures,Thriller/Suspense,422,47
729,Mifune,2/25/2000,Sony Pictures Cla…,Drama,398,44
730,Gridiron Heroes,4/15/2016,Indican Pictures,Documentary,250,27
731,National Bird,11/11/2016,FilmRise,Documentary,186,20
732,Nightlights,8/15/2014,Indican Pictures,Drama,159,17
733,The Student,4/14/2017,Under the Milky Way,Drama,138,15
